claim_ids	premises	hypotheses	labels
98	BACKGROUND Alirocumab, a monoclonal antibody to proprotein convertase subtilisin/kexin type 9 (PCSK9), lowers plasma low-density lipoprotein (LDL) cholesterol and apolipoprotein B100 (apoB).	Alirocumab treatment reduces apo(a) fractional clearance rate.	neutral
98	They received 2 doses of placebo, 2 weeks apart, followed by 5 doses of 150 mg of alirocumab, 2 weeks apart.	Alirocumab treatment reduces apo(a) fractional clearance rate.	neutral
98	Alirocumab had no effects on FCRs or PRs of very low-density lipoproteins-apoB and very low-density lipoproteins triglycerides or on postprandial plasma triglycerides or apoB48 concentrations.	Alirocumab treatment reduces apo(a) fractional clearance rate.	neutral
98	Although studies in mice and cells have identified increased hepatic LDL receptors as the basis for LDL lowering by PCSK9 inhibitors, there have been no human studies characterizing the effects of PCSK9 inhibitors on lipoprotein metabolism.	Alirocumab treatment reduces apo(a) fractional clearance rate.	neutral
104	The 1-year incidence of SAEs was 33.3% (n = 5) in the allogeneic group and 53.3% (n = 8) in the autologous group (P = .46).	Allogeneic mechanical circulatory support is not as effective as autologous mechanical circulatory support for treating acute myocardial infarction.	contradiction
104	At 1 year, there were no ventricular arrhythmia SAEs observed among allogeneic recipients compared with 4 patients (26.7%) in the autologous group (P = .10).	Allogeneic mechanical circulatory support is not as effective as autologous mechanical circulatory support for treating acute myocardial infarction.	contradiction
104	Allogeneic and autologous MSCs reduced mean EED by −33.21% (95% CI, −43.61% to −22.81%; P < .001) and sphericity index but did not increase EF.	Allogeneic mechanical circulatory support is not as effective as autologous mechanical circulatory support for treating acute myocardial infarction.	contradiction
104	CONCLUSIONS In this early-stage study of patients with ICM, transendocardial injection of allogeneic and autologous MSCs without a placebo control were both associated with low rates of treatment-emergent SAEs, including immunologic reactions.	Allogeneic mechanical circulatory support is not as effective as autologous mechanical circulatory support for treating acute myocardial infarction.	contradiction
104	DESIGN, SETTING, AND PATIENTS A phase 1/2 randomized comparison (POSEIDON study) in a US tertiary-care referral hospital of allogeneic and autologous MSCs in 30 patients with LV dysfunction due to ICM between April 2, 2010, and September 14, 2011, with 13-month follow-up.	Allogeneic mechanical circulatory support is not as effective as autologous mechanical circulatory support for treating acute myocardial infarction.	neutral
104	In aggregate, MSC injection favorably affected patient functional capacity, quality of life, and ventricular remodeling.	Allogeneic mechanical circulatory support is not as effective as autologous mechanical circulatory support for treating acute myocardial infarction.	neutral
104	CONTEXT Mesenchymal stem cells (MSCs) are under evaluation as a therapy for ischemic cardiomyopathy (ICM).	Allogeneic mechanical circulatory support is not as effective as autologous mechanical circulatory support for treating acute myocardial infarction.	neutral
104	Low-dose concentration MSCs (20 million cells) produced greatest reductions in LV volumes and increased EF.	Allogeneic mechanical circulatory support is not as effective as autologous mechanical circulatory support for treating acute myocardial infarction.	neutral
105	Using a strain in which late origins can be induced to fire early, we show that replication termination is a largely passive phenomenon that does not rely on cis-acting sequences or replication fork pausing.	Alteration of origin firing causes changes in termination zones of Okazaki fragments.	contradiction
105	We show that leading-strand initiation preferentially occurs within a nucleosome-free region at replication origins.	Alteration of origin firing causes changes in termination zones of Okazaki fragments.	neutral
106	Compared with ambulatory monitoring thresholds of 135/85 mm Hg, clinic measurements over 140/90 mm Hg had mean sensitivity and specificity of 74.6% (95% confidence interval 60.7% to 84.8%) and 74.6% (47.9% to 90.4%), respectively, whereas home measurements over 135/85 mm Hg had mean sensitivity and specificity of 85.7% (78.0% to 91.0%) and 62.4% (48.0% to 75.0%).	Ambulatory blood pressure monitoring is inaccurate at diagnosing hypertension.	contradiction
106	If ambulatory monitoring is taken as the reference standard, then treatment decisions based on clinic or home blood pressure alone might result in substantial overdiagnosis.	Ambulatory blood pressure monitoring is inaccurate at diagnosing hypertension.	contradiction
106	Ambulatory monitoring before the start of lifelong drug treatment might lead to more appropriate targeting of treatment, particularly around the diagnostic threshold.	Ambulatory blood pressure monitoring is inaccurate at diagnosing hypertension.	contradiction
106	RESULTS The 20 eligible studies used various thresholds for the diagnosis of hypertension, and only seven studies (clinic) and three studies (home) could be directly compared with ambulatory monitoring.	Ambulatory blood pressure monitoring is inaccurate at diagnosing hypertension.	neutral
106	DATA SOURCES Medline (from 1966), Embase (from 1980), Cochrane Database of Systematic Reviews, DARE, Medion, ARIF, and TRIP up to May 2010.	Ambulatory blood pressure monitoring is inaccurate at diagnosing hypertension.	neutral
106	Methodological quality was appraised, including evidence of validation of blood pressure measurement equipment.	Ambulatory blood pressure monitoring is inaccurate at diagnosing hypertension.	neutral
106	BACKGROUND The diagnosis of hypertension has traditionally been based on blood-pressure measurements in the clinic, but home and ambulatory measurements better correlate with cardiovascular outcome, and ambulatory monitoring is more accurate than both clinic and home monitoring in diagnosing hypertension.	Ambulatory blood pressure monitoring is inaccurate at diagnosing hypertension.	contradiction
106	INTERPRETATION Ambulatory monitoring as a diagnostic strategy for hypertension after an initial raised reading in the clinic would reduce misdiagnosis and save costs.	Ambulatory blood pressure monitoring is inaccurate at diagnosing hypertension.	contradiction
106	Additional costs from ambulatory monitoring are counterbalanced by cost savings from better targeted treatment.	Ambulatory blood pressure monitoring is inaccurate at diagnosing hypertension.	neutral
106	This finding was robust when assessed with a wide range of deterministic sensitivity analyses around the base case, but was sensitive if home monitoring was judged to have equal test performance to ambulatory monitoring or if treatment was judged effective irrespective of whether an individual was hypertensive.	Ambulatory blood pressure monitoring is inaccurate at diagnosing hypertension.	neutral
108	RESULTS Tricyclic antidepressant medication and stress management therapy each produced larger reductions in headache activity, analgesic medication use, and headache-related disability than placebo, but antidepressant medication yielded more rapid improvements in headache activity.	Amitriptyline is an effective treatment for chronic tension-type headaches.	entailment
108	Combined therapy was more likely to produce clinically significant (>/=50%) reductions in headache index scores (64% of participants) than antidepressant medication (38% of participants; P =.006), stress management therapy (35%; P =.003), or placebo (29%; P =.001).	Amitriptyline is an effective treatment for chronic tension-type headaches.	entailment
108	CONCLUSIONS Our results indicate that antidepressant medication and stress management therapy are each modestly effective in treating chronic tension-type headaches.	Amitriptyline is an effective treatment for chronic tension-type headaches.	entailment
